Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
2042-11,300.4693,299.98047,299.4044,296.87958,297.2864
2042-12,299.2061,299.92432,300.0358,297.37418,298.42194
2043-01,300.2213,299.8363,299.81985,299.0719,299.94504
2043-02,300.05756,300.36218,300.37073,298.1181,300.2059
2043-03,299.71863,300.3137,299.7748,297.27704,298.00812
2043-04,298.849,299.91132,299.1525,296.9904,296.7668
2043-05,299.07263,299.39935,296.5868,295.22876,292.68106
2043-06,298.32242,299.38275,296.21124,294.00787,291.56506
2043-07,297.9024,299.65933,296.1372,293.886,291.27902
2043-08,298.46393,301.50574,299.80524,295.94672,292.61374
2043-09,303.1505,303.53616,302.47986,296.5171,292.84518
2043-10,304.27963,304.03293,302.49045,297.0335,295.19894
2043-11,305.57513,302.40823,306.04083,300.8459,298.27762
2043-12,300.49524,301.20972,301.01093,298.27762,299.6723
2044-01,300.25842,302.06866,301.47333,298.70453,300.15808
2044-02,300.99136,301.88763,302.14072,300.2873,300.9747
2044-03,301.71295,301.87888,302.85638,300.24744,297.37842
2044-04,301.53748,301.31693,300.49634,299.1123,294.20615
2044-05,301.77408,300.80255,298.18335,297.1822,290.43207
2044-06,301.1928,301.28043,296.85712,295.15433,290.18204
2044-07,300.16864,301.38556,296.00626,294.1762,288.5628
2044-08,301.90137,303.4848,300.8255,296.45963,292.0232
2044-09,304.38257,303.95618,301.5293,296.19135,292.0406
2044-10,306.07327,302.32,305.98102,297.88763,294.08475
2044-11,301.8443,301.33612,301.00293,297.19592,297.19473
2044-12,301.1889,300.35907,300.52628,298.41406,299.45822
2045-01,300.38342,300.29034,300.60486,298.2046,299.23364
2045-02,300.86353,300.23224,300.18918,298.81116,298.01456
2045-03,300.6324,300.05432,299.7034,298.6339,298.47134
2045-04,299.20337,299.68314,298.53122,297.41098,295.76566
2045-05,298.89935,299.62137,295.7958,295.1587,291.75134
2045-06,298.64868,299.4715,294.40308,293.63974,289.0066
2045-07,298.55536,299.60663,294.65176,293.00647,288.94897
2045-08,298.60535,300.46713,297.7655,294.54413,292.1948
2045-09,300.1869,302.5633,302.59225,296.654,294.44415
2045-10,303.67776,300.84448,302.98184,296.5843,295.01938
2045-11,301.08118,299.92218,301.51776,297.56754,297.36697
2045-12,300.8921,299.65155,299.72354,297.90594,299.35764
2046-01,301.09393,300.0834,299.79367,298.57303,299.96967
2046-02,300.0883,299.74792,298.93204,298.11206,298.64282
2046-03,300.09085,299.43842,300.85574,298.88654,297.57422
2046-04,298.99823,299.3903,298.81137,297.7158,295.2713
2046-05,298.58047,299.4818,297.51437,295.9014,291.9424
2046-06,298.323,299.11597,295.35004,293.7234,289.34494
2046-07,298.3208,299.64264,296.51898,293.9422,290.2405
2046-08,299.20993,300.89587,299.1907,295.58273,291.40286
2046-09,304.19592,303.02667,303.26263,297.37286,291.30737
2046-10,304.52246,301.581,302.97028,296.78546,294.2371
2046-11,299.78992,300.1688,302.27676,297.7303,297.63358
2046-12,299.73785,299.8826,301.4331,297.94092,299.22537
