Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
1873-11,300.1502,299.62665,300.59406,296.5995,294.8892
1873-12,299.92886,299.38507,299.81396,297.21204,297.22983
1874-01,299.4706,299.07794,298.0617,297.2849,296.3493
1874-02,299.7347,299.20984,299.37607,298.36856,298.79688
1874-03,299.36734,299.3629,298.6916,296.73697,295.73184
1874-04,298.3778,299.2834,297.99313,295.58493,292.45926
1874-05,298.32767,298.43732,293.95703,292.49518,288.96246
1874-06,298.55975,298.52966,293.6389,292.05054,288.99323
1874-07,298.60828,298.97592,294.20303,293.29388,285.68948
1874-08,298.87988,300.11896,297.0723,294.55933,289.38235
1874-09,303.80475,302.01276,301.26584,295.84314,289.9941
1874-10,302.36,300.30066,300.3147,295.68176,292.97165
1874-11,300.13174,299.05142,299.21124,295.97552,295.9306
1874-12,299.0177,298.52274,299.24924,296.0608,297.87216
1875-01,299.34738,298.75433,298.93192,297.34265,298.09967
1875-02,299.17804,298.52612,298.12442,297.0859,297.66553
1875-03,298.23254,298.65698,297.97427,296.47937,296.62982
1875-04,297.71548,298.276,296.56018,295.48822,292.2249
1875-05,297.45325,298.03534,294.9606,293.74994,289.07935
1875-06,296.89783,297.3974,292.7179,292.0451,286.9526
1875-07,296.71408,297.4148,293.40894,292.141,287.8717
1875-08,297.2331,298.60956,296.03525,293.7251,289.10303
1875-09,300.68668,300.39178,300.15726,295.40143,291.02573
1875-10,302.11853,299.90497,299.71606,295.2125,292.94873
1875-11,298.98474,298.96204,298.526,295.39804,295.84302
1875-12,299.19666,298.7751,299.11102,296.94952,298.23553
1876-01,298.5085,298.38184,298.44138,296.5296,297.25592
1876-02,298.91364,298.72296,298.2735,296.75604,297.2996
1876-03,298.17032,298.50323,297.11273,295.45953,296.30048
1876-04,297.66232,298.62006,297.5578,295.76807,294.22815
1876-05,297.36533,297.7453,294.8968,293.6811,290.56964
1876-06,297.16248,297.22366,292.0997,291.13986,287.8933
1876-07,296.5183,297.61163,293.60376,292.06378,288.22504
1876-08,297.39307,299.23386,296.953,294.12207,289.53818
1876-09,300.32697,300.28864,298.76547,294.1808,291.41504
1876-10,303.8164,299.51245,301.58252,296.63995,294.94495
1876-11,299.83948,299.46014,299.90695,295.8988,296.14136
1876-12,297.967,298.66638,298.4567,297.25778,297.40826
1877-01,298.5013,298.38422,298.53992,296.0688,298.59308
1877-02,298.86484,298.88675,297.62878,296.55792,297.4235
1877-03,298.28134,298.58197,297.47443,295.4085,295.93927
1877-04,297.5148,298.56976,297.2694,295.84073,294.0811
1877-05,297.12738,297.66895,294.58524,293.33026,290.36923
1877-06,296.7705,297.21744,292.95026,291.93524,288.5461
1877-07,296.78232,297.53632,292.98648,291.65295,287.34436
1877-08,297.71478,298.85553,295.7889,293.43277,289.32098
1877-09,300.54767,300.59122,300.56772,295.82562,292.59692
1877-10,301.2718,299.33044,299.94922,295.48926,294.2615
1877-11,299.22308,299.50592,300.3574,295.98944,296.26993
1877-12,298.22644,298.52896,298.52417,296.6678,298.57083
1878-01,298.93124,298.5294,298.33145,296.90396,297.4491
1878-02,298.77814,298.5513,297.76904,296.30258,297.29153
1878-03,297.7954,298.76917,298.3063,296.6867,296.13834
1878-04,297.8761,298.25272,296.70358,294.78107,295.13806
1878-05,297.60147,297.7322,294.23892,293.4724,288.62982
1878-06,296.87476,297.40216,292.90274,291.82953,288.23
1878-07,297.13235,298.0596,293.48743,292.38013,285.6425
1878-08,298.23642,299.1624,296.21964,294.16278,288.27994
1878-09,301.3489,300.55573,300.07614,295.10217,290.96948
1878-10,301.2426,299.82715,299.452,295.2221,293.02795
1878-11,299.87555,298.86298,299.42694,295.9527,294.9624
1878-12,299.0445,298.5421,298.808,297.17798,297.90482
1879-01,299.46976,298.9428,298.94406,297.63242,297.87372
1879-02,299.29596,298.79028,298.40805,295.7826,297.6683
1879-03,298.19977,299.09418,298.44946,296.32822,297.2203
1879-04,297.8095,298.34772,296.62628,294.66888,293.6554
1879-05,297.1698,298.0104,294.6004,293.32654,289.59677
1879-06,297.3829,297.69513,292.20456,290.67603,286.45065
1879-07,297.5229,298.2207,293.34833,291.64746,285.57617
1879-08,298.20178,299.74335,297.2351,293.9643,287.9875
1879-09,300.85165,300.51547,301.86713,295.83157,291.76804
1879-10,300.77148,300.15686,301.27695,295.84146,293.03094
1879-11,300.20068,299.10052,299.5721,295.56854,294.71075
1879-12,299.3283,298.58228,298.9602,296.21274,296.75674
1880-01,299.3947,298.6142,297.58606,296.8965,298.07382
1880-02,299.4573,299.13138,298.63354,297.68964,298.07904
1880-03,299.07596,298.79688,298.34332,296.86212,295.9487
1880-04,297.93808,298.47348,297.56747,295.35242,294.27817
1880-05,297.11734,297.94012,294.98282,293.60504,291.84494
1880-06,297.08694,297.7735,293.29492,292.28006,287.76526
1880-07,296.52127,298.04773,293.49426,291.76285,288.3009
1880-08,298.89026,299.91385,297.79593,294.43835,290.79764
1880-09,302.1042,300.73633,300.1718,294.92554,291.57867
1880-10,299.65118,299.55817,298.11365,294.7937,293.18796
1880-11,299.58105,298.71405,298.4057,295.48526,295.50787
1880-12,298.98755,298.6699,297.41995,296.13965,296.56036
1881-01,299.1501,298.85898,298.45807,297.0772,300.14575
1881-02,299.19397,298.89795,298.55923,297.41833,296.54968
1881-03,298.1726,298.88254,297.57773,296.11584,296.32892
1881-04,297.97287,298.75116,297.13983,295.0677,294.54547
1881-05,297.69464,298.00122,294.0943,293.41245,291.5129
1881-06,297.0654,297.66647,293.443,292.32108,289.73752
1881-07,297.16983,298.4375,294.16266,292.26065,288.2356
1881-08,298.3767,299.31024,296.74744,294.09393,288.91653
1881-09,301.87195,300.91046,300.95374,297.08398,292.03116
1881-10,300.80728,299.45886,299.34262,295.28973,293.81216
1881-11,299.92377,298.9358,299.21997,296.9272,297.60657
1881-12,298.4312,298.65396,298.62848,296.511,299.63715
1882-01,299.18942,298.4867,298.89417,298.0421,300.78876
1882-02,299.02863,299.01306,298.66193,296.87256,298.6195
1882-03,298.2931,298.46985,298.1863,297.2176,296.30005
1882-04,298.22705,298.17462,296.82065,295.40308,292.42776
1882-05,297.66617,298.07162,295.02097,293.35928,290.57687
1882-06,297.89453,298.2293,293.26294,292.49612,288.62872
1882-07,297.76282,298.21204,293.40393,292.25513,286.53168
1882-08,298.75632,299.72894,296.86597,294.5642,288.31418
1882-09,302.00323,301.14746,300.24744,294.9411,290.61804
1882-10,300.98114,300.15512,298.51743,294.53708,292.86536
1882-11,301.72107,299.76416,298.7362,295.46484,295.19366
1882-12,298.54565,299.89413,299.1534,296.5217,298.05847
1883-01,299.63644,299.76007,298.8313,297.17743,297.46826
1883-02,299.13232,299.62433,298.73984,297.3946,297.5988
1883-03,298.53937,299.37878,298.04584,296.52814,297.1251
1883-04,298.08698,298.80243,297.6787,295.83447,295.1148
1883-05,297.46417,298.50153,294.81207,293.5594,290.9082
1883-06,296.01367,297.8717,292.94644,292.17096,287.5829
1883-07,296.40277,298.5064,294.0822,292.41626,288.78363
1883-08,297.93738,299.84378,296.3545,294.069,289.0333
1883-09,300.24527,301.5332,302.08926,297.27917,292.27142
1883-10,300.84424,300.54257,300.68646,296.54102,293.47388
1883-11,299.39008,298.84064,299.10263,295.81863,296.14413
1883-12,298.6834,298.4954,298.13345,296.08475,298.17523
1884-01,299.88565,299.06744,300.121,298.76364,297.93307
1884-02,299.86377,298.91373,298.15106,296.54077,298.47128
1884-03,299.01715,298.61392,298.15607,296.81195,296.62585
1884-04,297.8502,298.17816,296.5384,294.45465,294.10965
1884-05,297.17828,297.82404,293.9253,292.59668,291.63705
1884-06,297.41345,297.75592,292.9945,291.6746,287.55157
1884-07,297.42523,298.35626,294.26114,292.63428,287.57263
1884-08,297.9618,299.5818,297.2431,294.23096,289.3764
1884-09,301.24472,300.76147,299.7221,295.70258,291.10178
1884-10,302.00223,299.90213,299.54492,295.78278,292.56873
1884-11,301.75626,298.89267,298.92804,295.66547,293.9988
1884-12,300.73245,298.691,299.2784,295.87067,297.16714
1885-01,299.5809,298.51703,297.85794,297.0011,297.96985
1885-02,298.74548,298.28442,297.7906,297.23865,297.53043
1885-03,298.54138,298.58813,297.7754,296.35452,296.8442
1885-04,298.01782,298.15265,296.69287,295.14923,292.50967
1885-05,297.2249,297.57202,293.9347,292.7379,289.8717
1885-06,297.4948,297.36206,292.96243,291.97632,287.39426
1885-07,296.9909,297.41605,292.94266,291.46362,287.80414
1885-08,298.41846,299.0835,296.36044,294.31702,287.5327
1885-09,300.273,299.98633,299.53763,294.75797,291.9543
1885-10,303.13135,299.50696,299.8582,295.66324,293.08798
1885-11,299.52637,299.13995,299.00085,296.01758,296.05716
1885-12,298.03094,298.7187,298.63342,296.19263,297.25034
1886-01,298.56158,298.56024,297.9638,296.53323,298.39984
1886-02,298.64404,298.7276,298.43466,296.8922,300.2643
1886-03,298.23938,298.70914,298.53882,296.59833,296.9911
1886-04,297.4389,298.18634,297.8276,296.05133,294.7954
1886-05,296.95642,297.7342,295.02048,293.8012,290.69373
1886-06,296.8507,297.18512,293.64923,292.45532,289.4683
1886-07,296.5204,297.77032,294.1751,292.26172,288.43405
1886-08,296.92126,298.86972,296.98285,293.6164,290.47684
1886-09,299.69644,300.00046,299.27808,295.14142,290.8754
1886-10,301.94574,299.4325,299.19382,295.55927,293.27026
1886-11,299.4242,298.69604,298.84738,295.44983,295.8586
1886-12,298.12488,298.23328,299.2243,297.07602,298.00067
1887-01,298.9077,298.5433,298.79337,297.9004,298.17178
1887-02,299.24847,298.93585,298.1909,296.91455,296.74625
1887-03,299.3806,298.6371,298.42365,296.9001,296.39456
